price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3480000,2948,1,2,3,yes,no,no,no,yes,2,yes,furnished
5800000,12911,3,2,1,yes,no,no,yes,yes,0,yes,semi-furnished
5890000,11174,3,3,3,yes,yes,no,no,no,2,yes,furnished
4140000,8035,3,2,1,yes,yes,no,no,no,2,no,semi-furnished
4200000,7950,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
6470000,14142,5,1,3,yes,no,yes,no,yes,1,yes,furnished
3880000,2900,2,3,1,yes,yes,no,yes,no,1,yes,furnished
5560000,11796,5,3,2,yes,yes,no,no,no,1,no,furnished
2610000,4581,2,1,3,no,no,no,no,no,1,no,furnished
3540000,3020,5,2,1,yes,no,yes,no,yes,2,no,semi-furnished
4800000,9310,3,2,2,yes,no,no,yes,no,1,no,furnished
5760000,15845,4,2,2,no,no,yes,no,yes,1,no,furnished
6150000,12355,5,3,3,yes,no,no,no,no,1,no,unfurnished
4860000,12724,4,1,4,yes,no,no,no,no,0,no,unfurnished
5910000,12089,5,1,4,no,no,no,no,no,2,no,furnished
4830000,13087,3,1,1,yes,no,no,no,no,3,no,semi-furnished
3760000,9117,1,1,1,yes,yes,yes,no,no,1,no,semi-furnished
4390000,3514,3,3,1,yes,yes,no,no,no,3,yes,unfurnished
5360000,13868,1,3,3,yes,no,no,no,no,2,no,unfurnished
4730000,8203,5,1,1,yes,no,no,yes,no,0,no,furnished
4300000,8930,2,2,1,no,yes,no,no,yes,1,no,furnished
3380000,7045,2,1,4,no,no,no,no,no,0,no,semi-furnished
2850000,4306,2,1,4,yes,no,yes,no,no,0,no,unfurnished
6370000,15134,4,1,4,yes,no,yes,no,no,1,no,unfurnished
5030000,13021,3,1,2,yes,no,yes,no,no,1,no,furnished
4860000,11018,5,2,3,no,no,no,no,no,3,no,semi-furnished
4470000,7505,3,3,3,yes,no,no,no,yes,0,no,furnished
5200000,13621,2,2,1,no,yes,no,no,no,3,no,semi-furnished
4660000,9585,1,3,3,yes,no,yes,no,yes,0,no,unfurnished
4510000,8101,1,2,3,yes,no,yes,no,yes,0,no,semi-furnished
4670000,8204,2,1,2,yes,yes,yes,no,no,2,no,furnished
3950000,4956,5,1,4,yes,yes,no,no,yes,3,no,semi-furnished
2900000,2990,3,1,3,yes,yes,no,no,yes,2,no,semi-furnished
4040000,9719,5,1,3,yes,no,no,yes,no,0,no,unfurnished
6500000,14568,1,3,3,no,no,no,no,yes,0,no,semi-furnished
3170000,2578,1,3,4,yes,yes,yes,no,no,1,no,unfurnished
7080000,14138,5,3,3,yes,no,no,no,yes,1,no,furnished
5240000,13692,1,2,2,yes,no,no,no,no,3,yes,furnished
3470000,5676,1,2,4,yes,yes,no,no,no,1,no,semi-furnished
5240000,10840,3,2,3,no,no,yes,yes,no,0,no,furnished
4110000,4054,5,2,4,yes,yes,no,no,no,3,no,furnished
5850000,12680,4,3,1,yes,no,no,no,no,0,no,semi-furnished
5840000,11842,1,3,2,yes,no,no,no,no,0,no,furnished
4720000,6808,5,3,4,no,yes,no,no,yes,1,no,furnished
3150000,2638,5,2,3,yes,no,yes,no,no,1,no,furnished
5990000,15773,5,1,4,no,no,no,no,no,2,no,furnished
5630000,8134,5,3,1,yes,no,no,no,yes,3,no,unfurnished
6380000,14644,2,2,1,yes,no,yes,no,no,3,yes,unfurnished
6070000,11513,5,3,4,no,no,no,no,yes,1,no,furnished
5260000,12975,2,2,2,yes,yes,no,no,no,3,no,unfurnished
5750000,12706,5,3,3,no,no,no,no,yes,2,no,unfurnished
3780000,4481,3,2,2,yes,no,yes,no,yes,0,no,unfurnished
4480000,6944,4,3,2,yes,no,yes,no,no,3,no,semi-furnished
5040000,8440,4,3,4,yes,no,no,yes,no,0,no,furnished
4720000,8892,4,1,1,yes,no,no,no,no,2,yes,semi-furnished
2950000,2287,4,2,4,no,yes,no,no,no,3,no,unfurnished
4310000,9602,4,2,4,no,no,no,no,no,0,no,unfurnished
4130000,3894,4,3,3,yes,yes,no,no,yes,1,no,semi-furnished
6230000,12466,1,3,2,yes,no,no,no,yes,1,yes,furnished
6360000,11588,5,3,1,yes,no,yes,no,no,3,no,unfurnished
6450000,15072,3,2,3,yes,no,yes,no,yes,0,no,unfurnished
5540000,12486,2,2,2,yes,no,yes,no,no,2,no,semi-furnished
4270000,6984,3,2,1,yes,no,no,no,yes,1,yes,semi-furnished
6800000,15727,5,3,2,yes,no,yes,no,yes,0,no,semi-furnished
5220000,7627,5,1,4,yes,no,yes,no,yes,2,no,semi-furnished
4620000,6390,5,2,2,yes,no,no,no,yes,3,no,semi-furnished
5340000,14825,3,1,1,yes,yes,yes,no,yes,2,no,unfurnished
4530000,7040,4,3,3,no,yes,yes,no,no,0,yes,unfurnished
2560000,2760,2,2,1,yes,no,no,no,yes,0,no,semi-furnished
4820000,8482,4,2,4,yes,no,no,no,no,1,yes,semi-furnished
6500000,13227,4,2,4,yes,no,no,no,no,2,no,semi-furnished
4190000,4406,2,2,4,yes,yes,no,no,no,2,yes,furnished
5230000,8385,2,3,4,no,no,yes,yes,no,0,no,furnished
3040000,3540,1,2,1,yes,no,no,no,yes,2,no,furnished
4740000,11638,1,2,1,yes,no,no,no,yes,1,no,semi-furnished
3970000,8571,3,1,2,no,yes,no,no,yes,2,no,furnished
3270000,6454,3,1,2,no,no,no,no,no,3,no,semi-furnished
3490000,4951,1,2,4,yes,no,no,no,no,2,yes,unfurnished
5320000,9863,3,3,3,yes,yes,no,no,yes,0,yes,furnished
5480000,11395,4,3,3,yes,no,no,no,no,3,no,semi-furnished
5750000,15331,2,2,4,yes,no,yes,no,no,0,no,unfurnished
4470000,8010,2,2,3,yes,yes,no,no,no,3,no,semi-furnished
3180000,3988,2,2,2,yes,yes,no,no,no,0,no,furnished
4760000,13765,3,1,2,no,no,no,no,no,2,no,semi-furnished
4440000,10813,2,1,3,yes,no,no,no,no,0,no,semi-furnished
5190000,11838,4,2,1,yes,yes,yes,no,no,0,no,semi-furnished
1870000,3064,2,1,3,yes,no,no,no,yes,2,no,furnished
3650000,6194,3,1,3,yes,no,no,no,yes,2,no,semi-furnished
5340000,12822,2,1,3,yes,yes,no,no,no,0,no,semi-furnished
4520000,13759,1,1,3,no,no,yes,no,no,3,no,furnished
4490000,7982,4,2,4,no,no,yes,no,no,1,no,semi-furnished
6520000,13359,2,3,4,yes,no,no,no,no,1,no,furnished
5770000,13896,2,3,3,yes,no,no,no,yes,1,no,semi-furnished
4270000,7287,4,2,2,yes,no,no,no,no,1,yes,unfurnished
6010000,14717,5,2,1,yes,no,yes,no,yes,0,no,furnished
4260000,5845,4,1,4,no,no,yes,no,no,1,no,semi-furnished
3900000,5135,5,1,4,yes,yes,yes,no,no,0,no,semi-furnished
5890000,11580,5,2,3,yes,no,no,yes,yes,0,no,semi-furnished
6350000,10914,3,2,4,yes,no,no,yes,yes,1,yes,unfurnished
4040000,3683,4,1,4,yes,yes,no,no,no,2,yes,semi-furnished
6440000,13766,2,2,4,yes,yes,no,no,yes,3,yes,furnished
3130000,4558,3,1,3,yes,no,yes,no,yes,1,no,unfurnished
5490000,13361,3,1,1,yes,yes,no,no,no,1,yes,unfurnished
3640000,1757,5,3,1,yes,yes,yes,no,yes,3,no,semi-furnished
5660000,13244,5,2,1,yes,yes,yes,no,yes,2,no,furnished
5950000,13099,3,2,2,yes,no,no,no,yes,3,no,furnished
5710000,13004,4,3,3,yes,no,yes,no,no,3,no,semi-furnished
6030000,11323,2,3,2,no,no,no,no,yes,3,no,furnished
6000000,8511,5,3,1,yes,yes,no,no,yes,3,yes,furnished
4820000,11910,3,2,1,yes,yes,no,no,yes,1,no,unfurnished
4640000,5682,3,3,4,yes,no,no,no,yes,1,yes,furnished
5900000,13009,4,2,4,yes,no,no,no,yes,1,yes,furnished
5290000,9734,4,3,2,yes,no,no,no,yes,0,yes,furnished
5490000,8327,1,3,4,yes,yes,yes,no,yes,2,no,semi-furnished
5690000,9006,2,2,3,no,yes,yes,no,no,2,yes,semi-furnished
5170000,9925,1,3,4,yes,yes,no,no,no,3,no,unfurnished
3410000,2192,4,2,4,yes,no,no,no,yes,0,no,furnished
3500000,3684,1,3,3,yes,no,yes,no,yes,1,no,furnished
2720000,5221,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
4700000,3316,3,3,3,yes,no,no,no,no,3,yes,semi-furnished
4140000,8046,4,2,2,yes,no,no,no,no,1,no,semi-furnished
6490000,11375,3,3,2,yes,no,no,no,yes,0,yes,unfurnished
6150000,11171,5,2,3,yes,yes,no,no,no,2,no,semi-furnished
4580000,8504,5,3,3,no,no,no,no,yes,3,no,semi-furnished
5110000,14091,1,1,3,yes,no,no,no,yes,3,no,unfurnished
5050000,9874,5,1,2,no,no,yes,no,yes,0,yes,furnished
2870000,2802,4,2,2,yes,yes,no,no,no,1,no,unfurnished
6370000,12780,4,3,1,yes,no,yes,no,yes,0,yes,semi-furnished
5750000,10010,1,3,3,yes,no,no,no,no,1,no,semi-furnished
5690000,10885,4,2,3,yes,yes,yes,no,yes,2,yes,unfurnished
5610000,9876,4,2,4,yes,no,yes,no,yes,1,no,semi-furnished
4920000,9704,3,2,3,yes,no,yes,no,no,0,no,semi-furnished
3440000,2967,1,3,2,yes,yes,no,no,no,2,yes,furnished
4940000,9786,3,2,1,no,no,yes,no,yes,0,yes,semi-furnished
5420000,13215,5,2,1,yes,no,yes,yes,no,0,no,semi-furnished
5040000,6072,4,3,2,yes,no,no,yes,yes,0,yes,furnished
4610000,10421,1,1,2,yes,no,no,no,yes,0,yes,unfurnished
3510000,2098,5,3,2,yes,yes,no,no,no,1,no,semi-furnished
4300000,6706,5,1,2,no,no,no,no,yes,3,no,semi-furnished
5100000,8004,1,1,4,yes,no,no,yes,no,3,yes,furnished
7160000,15948,5,3,1,yes,yes,yes,no,no,0,no,semi-furnished
4120000,4772,3,3,2,yes,no,yes,no,yes,0,no,furnished
3600000,5673,3,3,1,yes,no,no,no,yes,1,no,furnished
5160000,7594,3,3,2,yes,yes,yes,no,yes,2,yes,semi-furnished
6540000,16093,4,2,3,yes,no,no,no,no,2,no,furnished
6400000,14067,5,2,1,yes,no,no,yes,no,3,no,furnished
3000000,2154,4,1,2,yes,no,no,no,yes,1,yes,semi-furnished
3490000,5053,5,1,1,yes,no,no,no,yes,0,yes,semi-furnished
5080000,13605,5,1,4,yes,no,no,no,no,0,no,unfurnished
1510000,2498,1,1,3,yes,no,no,no,yes,0,no,unfurnished
5130000,14100,2,2,1,yes,yes,no,no,no,0,no,semi-furnished
3350000,5744,4,3,1,no,yes,yes,no,no,3,no,unfurnished
5730000,15001,3,3,1,yes,no,yes,yes,no,1,no,unfurnished
3620000,5921,1,2,2,yes,yes,no,no,yes,3,no,semi-furnished
3910000,7969,1,3,4,no,no,yes,no,yes,2,no,unfurnished
6170000,11280,3,3,3,yes,yes,no,no,yes,2,no,furnished
3970000,3487,4,3,4,yes,no,no,no,no,1,no,semi-furnished
4020000,9754,1,2,2,yes,no,no,no,no,3,no,semi-furnished
3950000,8997,1,1,2,yes,no,no,yes,yes,0,no,furnished
5760000,13055,1,3,2,no,no,no,yes,no,0,yes,furnished
5700000,16143,3,1,1,yes,yes,no,no,no,1,yes,unfurnished
4970000,11315,1,2,4,yes,no,yes,no,yes,1,no,semi-furnished
4530000,7603,3,1,1,yes,no,no,no,yes,2,no,furnished
5740000,7562,3,3,2,yes,no,yes,no,yes,2,yes,furnished
4970000,7731,3,2,3,yes,yes,no,no,no,2,yes,semi-furnished
5340000,13493,4,1,1,yes,no,no,no,no,1,no,unfurnished
2340000,6323,3,1,2,yes,no,no,no,no,1,no,unfurnished
4360000,4079,4,2,2,yes,no,no,no,no,3,yes,semi-furnished
4620000,6513,4,2,2,yes,no,no,yes,no,0,yes,furnished
4050000,1980,5,3,1,yes,yes,yes,no,no,2,no,furnished
2980000,3194,4,1,1,yes,no,no,yes,no,2,no,semi-furnished
3110000,2960,3,3,1,yes,yes,no,no,no,3,no,unfurnished
5060000,12876,3,2,2,yes,no,no,no,no,2,no,unfurnished
5290000,12160,2,3,1,yes,yes,no,no,no,1,no,semi-furnished
5020000,11788,3,1,4,yes,no,yes,no,no,1,no,semi-furnished
3940000,8370,1,1,1,yes,yes,yes,no,no,1,no,semi-furnished
4840000,12083,5,1,3,yes,no,yes,no,no,1,no,semi-furnished
3760000,3996,5,2,3,yes,yes,yes,yes,no,0,no,semi-furnished
6510000,14754,1,3,2,yes,no,no,no,no,2,no,semi-furnished
4080000,8940,4,1,4,yes,no,no,no,no,0,no,semi-furnished
5310000,15298,1,2,1,yes,no,no,yes,no,2,no,unfurnished
2560000,3866,4,1,1,yes,no,no,no,no,3,no,semi-furnished
4610000,8886,1,3,2,yes,no,no,no,no,3,no,furnished
4850000,11781,3,3,1,yes,no,no,no,no,0,no,furnished
5390000,8861,4,3,2,yes,no,yes,no,yes,3,no,semi-furnished
4920000,8141,4,3,2,yes,yes,no,no,no,0,no,semi-furnished
3820000,4068,3,2,4,yes,no,yes,yes,no,1,yes,semi-furnished
5140000,7193,5,3,2,yes,no,no,yes,no,0,yes,unfurnished
4010000,5124,4,1,4,yes,yes,no,no,no,0,no,furnished
4230000,6037,2,3,4,yes,no,no,no,no,0,no,semi-furnished
5660000,11597,4,3,4,yes,yes,no,no,no,0,no,unfurnished
7250000,10820,4,3,1,yes,yes,yes,no,yes,3,no,semi-furnished
5440000,10484,2,2,4,yes,no,no,no,no,0,yes,semi-furnished
5090000,6914,4,3,3,no,yes,no,yes,yes,1,no,furnished
6350000,15613,5,2,4,yes,no,no,no,no,2,no,semi-furnished
3240000,2925,5,1,2,yes,no,no,no,no,3,yes,unfurnished
4830000,6634,4,3,4,no,no,no,no,no,3,no,unfurnished
